state,total,ytd
Alabama,6,9
Alaska,0,0
Arizona,0,1
Arkansas,0,0
California,17,52
Colorado,1,3
Connecticut,3,8
Delaware,0,0
Disrict Of Columbia,0,0
Florida,10,25
Georgia,2,8
Hawaii,0,1
Idaho,0,0
Illnois,3,6
Indiana,0,8
Iowa,0,0
Kansas,0,1
Kentucky,1,1
Louisana,2,6
Maine,0,1
Maryland,3,5
Massachusetts,2,2
Michigan,3,13
Minnesota,1,2
Mississippi,1,3
Missouri,3,6
Montana,0,0
Nebraska,1,1
Nevada,2,3
New Hampshire,0,2
New Jersey,2,18
New Mexico,0,1
New York,20,49
North Carolina,2,7
North Dakota,0,0
Ohio,2,4
Oklahoma,0,1
Oregon,0,1
Pennsylvania,4,20
Rhode Island ,0,0
South Carolina,2,5
South Dakota,0,0
Tennessee,2,7
Texas,5,27
Utah,2,3
Vermont,0,0
Virginia,4,16
Washington,0,0
West Virginia,0,2
Wisconson,1,4
Wyoming,0,0
